species,canonicalName,countries_present
Pterostylis bicornis D.L.Jones & M.A.Clem.,Pterostylis bicornis,NA
Pterostylis biseta Blackmore & Clemesha,Pterostylis biseta,NA
Pterostylis boormanii Rupp,Pterostylis boormanii,NA
Pterostylis borealis (D.L.Jones) D.L.Jones,Pterostylis borealis,NA
Pterostylis bracteata (D.L.Jones & R.J.Bates) J.M.H.Shaw,Pterostylis bracteata,NA
Pterostylis brevichila D.L.Jones & C.J.French,Pterostylis brevichila,NA
Pterostylis brunneola D.L.Jones & C.J.French,Pterostylis brunneola,NA
Pterostylis bryophila D.L.Jones,Pterostylis bryophila,NA
Pterostylis calceolus M.A.Clem.,Pterostylis calceolus,NA
Pterostylis caligna M.T.Mathieson,Pterostylis caligna,NA
Pterostylis chaetophora M.A.Clem. & D.L.Jones,Pterostylis chaetophora,NA
Pterostylis cheraphila D.L.Jones & M.A.Clem.,Pterostylis cheraphila,NA
Pterostylis chlorogramma D.L.Jones & M.A.Clem.,Pterostylis chlorogramma,NA
Pterostylis chocolatina (D.L.Jones) G.N.Backh.,Pterostylis chocolatina,NA
Pterostylis ciliata M.A.Clem. & D.L.Jones,Pterostylis ciliata,NA
Pterostylis clivicola (D.L.Jones) G.N.Backh.,Pterostylis clivicola,NA
Pterostylis clivosa (D.L.Jones) D.L.Jones,Pterostylis clivosa,NA
Pterostylis cobarensis M.A.Clem.,Pterostylis cobarensis,NA
Pterostylis coccina Fitzg.,Pterostylis coccina,NA
Pterostylis collina (Rupp) M.A.Clem. & D.L.Jones,Pterostylis collina,NA
Pterostylis commutata D.L.Jones,Pterostylis commutata,NA
Pterostylis concava D.L.Jones & M.A.Clem.,Pterostylis concava,NA
Pterostylis concinna R.Br.,Pterostylis concinna,NA
Pterostylis conferta (D.L.Jones) G.N.Backh.,Pterostylis conferta,NA
Pterostylis corpulenta (D.L.Jones) D.L.Jones,Pterostylis corpulenta,NA
Pterostylis crassa (D.L.Jones) G.N.Backh.,Pterostylis crassa,NA
Pterostylis crassicaulis (D.L.Jones & M.A.Clem.) G.N.Backh.,Pterostylis crassicaulis,NA
Pterostylis crassichila D.L.Jones,Pterostylis crassichila,NA
Pterostylis crebra (D.L.Jones) D.L.Jones,Pterostylis crebra,NA
Pterostylis crebriflora (D.L.Jones & C.J.French) D.L.Jones & C.J.French,Pterostylis crebriflora,NA
Pterostylis cucullata R.Br.,Pterostylis cucullata,NA
Pterostylis curta R.Br.,Pterostylis curta,NA
Pterostylis cycnocephala Fitzg.,Pterostylis cycnocephala,NA
Pterostylis daintreeana F.Muell. ex Benth.,Pterostylis daintreeana,NA
Pterostylis decurva R.S.Rogers,Pterostylis decurva,NA
Pterostylis depauperata F.M.Bailey,Pterostylis depauperata,NA
Pterostylis despectans (Nicholls) M.A.Clem. & D.L.Jones,Pterostylis despectans,NA
Pterostylis dilatata A.S.George,Pterostylis dilatata,NA
Pterostylis diminuta (D.L.Jones) G.N.Backh.,Pterostylis diminuta,NA
Pterostylis divaricata (D.L.Jones & L.M.Copel.) L.M.Copel. & D.L.Jones,Pterostylis divaricata,NA
Pterostylis dolichochila D.L.Jones & M.A.Clem.,Pterostylis dolichochila,NA
Pterostylis dubia R.Br.,Pterostylis dubia,NA
Pterostylis echinulata D.L.Jones & C.J.French,Pterostylis echinulata,NA
Pterostylis ectypha (D.L.Jones & C.J.French) D.L.Jones & C.J.French,Pterostylis ectypha,NA
Pterostylis elegans D.L.Jones,Pterostylis elegans,NA
Pterostylis elegantissima (D.L.Jones & C.J.French) D.L.Jones,Pterostylis elegantissima,NA
Pterostylis erecta T.E.Hunt,Pterostylis erecta,NA
Pterostylis eremaea (D.L.Jones & C.J.French) D.L.Jones & C.J.French,Pterostylis eremaea,NA
Pterostylis erubescens D.L.Jones & C.J.French,Pterostylis erubescens,NA
Pterostylis erythroconcha M.A.Clem. & D.L.Jones,Pterostylis erythroconcha,NA
Pterostylis exalla (D.L.Jones) G.N.Backh.,Pterostylis exalla,NA
Pterostylis excelsa M.A.Clem.,Pterostylis excelsa,NA
Pterostylis exquisita (D.L.Jones) D.L.Jones,Pterostylis exquisita,NA
Pterostylis exserta (D.L.Jones) D.L.Jones,Pterostylis exserta,NA
Pterostylis extensa (D.L.Jones) D.L.Jones,Pterostylis extensa,NA
Pterostylis extranea (D.L.Jones) Janes & Duretto,Pterostylis extranea,NA
"Pterostylis faceta (D.L.Jones, C.J.French & M.A.Clem.) D.L.Jones & C.J.French",Pterostylis faceta,NA
Pterostylis falcata R.S.Rogers,Pterostylis falcata,NA
Pterostylis ferruginea (D.L.Jones) G.N.Backh.,Pterostylis ferruginea,NA
Pterostylis fischiorum Nicholls,Pterostylis fischiorum,NA
Pterostylis flavovirens (D.L.Jones) R.J.Bates,Pterostylis flavovirens,NA
Pterostylis foliacea (D.L.Jones) D.L.Jones,Pterostylis foliacea,NA
Pterostylis foliata Hook.f.,Pterostylis foliata,NA
Pterostylis frenchii (D.L.Jones) A.P.Br.,Pterostylis frenchii,NA
Pterostylis fuliginosa (D.L.Jones & C.J.French) D.L.Jones & C.J.French,Pterostylis fuliginosa,NA
Pterostylis furcata Lindl.,Pterostylis furcata,NA
Pterostylis furva (D.L.Jones) D.L.Jones,Pterostylis furva,NA
Pterostylis galgula (D.L.Jones & C.J.French) D.L.Jones & C.J.French,Pterostylis galgula,NA
Pterostylis gibbosa R.Br.,Pterostylis gibbosa,NA
Pterostylis glebosa D.L.Jones & C.J.French,Pterostylis glebosa,NA
Pterostylis glyphida (D.L.Jones) G.N.Backh.,Pterostylis glyphida,NA
Pterostylis grandiflora R.Br.,Pterostylis grandiflora,NA
Pterostylis hadra (D.L.Jones) D.L.Jones,Pterostylis hadra,NA
Pterostylis hamata Blackmore & Clemesha,Pterostylis hamata,NA
Pterostylis hamiltonii Nicholls,Pterostylis hamiltonii,NA
Pterostylis hians D.L.Jones,Pterostylis hians,NA
Pterostylis hildae Nicholls,Pterostylis hildae,NA
Pterostylis hispidula Fitzg.,Pterostylis hispidula,NA
Pterostylis insectifera M.A.Clem.,Pterostylis insectifera,NA
Pterostylis jacksonii D.L.Jones & C.J.French,Pterostylis jacksonii,NA
Pterostylis jonesii G.N.Backh.,Pterostylis jonesii,NA
Pterostylis karri D.L.Jones & C.J.French,Pterostylis karri,NA
Pterostylis laxa Blackmore,Pterostylis laxa,NA
Pterostylis lepida (D.L.Jones) G.N.Backh.,Pterostylis lepida,NA
Pterostylis leptochila M.A.Clem. & D.L.Jones,Pterostylis leptochila,NA
Pterostylis limbata (D.L.Jones & R.J.Bates) J.M.H.Shaw,Pterostylis limbata,NA
Pterostylis lineata (D.L.Jones) G.N.Backh.,Pterostylis lineata,NA
Pterostylis lingua M.A.Clem.,Pterostylis lingua,NA
Pterostylis littoralis (D.L.Jones) R.J.Bates,Pterostylis littoralis,NA
Pterostylis loganii (D.L.Jones) G.N.Backh.,Pterostylis loganii,NA
Pterostylis longicornis (D.L.Jones & C.J.French) D.L.Jones & C.J.French,Pterostylis longicornis,NA
Pterostylis longicurva Rupp,Pterostylis longicurva,NA
Pterostylis longifolia R.Br.,Pterostylis longifolia,NA
Pterostylis longipetala Rupp,Pterostylis longipetala,NA
Pterostylis lortensis D.L.Jones & C.J.French,Pterostylis lortensis,NA
Pterostylis lustra D.L.Jones,Pterostylis lustra,NA
Pterostylis macilenta (D.L.Jones) G.N.Backh.,Pterostylis macilenta,NA
Pterostylis macrocalymma M.A.Clem. & D.L.Jones,Pterostylis macrocalymma,NA
Pterostylis macrosceles (D.L.Jones & C.J.French) D.L.Jones,Pterostylis macrosceles,NA
Pterostylis macrosepala (D.L.Jones) G.N.Backh.,Pterostylis macrosepala,NA
Pterostylis major (D.L.Jones) G.N.Backh.,Pterostylis major,NA
Pterostylis maxima M.A.Clem. & D.L.Jones,Pterostylis maxima,NA
Pterostylis melagramma D.L.Jones,Pterostylis melagramma,NA
Pterostylis meridionalis (D.L.Jones & C.J.French) D.L.Jones & C.J.French,Pterostylis meridionalis,NA
Pterostylis metcalfei D.L.Jones,Pterostylis metcalfei,NA
Pterostylis microglossa D.L.Jones & C.J.French,Pterostylis microglossa,NA
Pterostylis microphylla D.L.Jones & C.J.French,Pterostylis microphylla,NA
Pterostylis mirabilis (D.L.Jones) R.J.Bates,Pterostylis mirabilis,NA
Pterostylis mitchellii Lindl.,Pterostylis mitchellii,NA
Pterostylis monticola D.L.Jones,Pterostylis monticola,NA
Pterostylis multiflora (D.L.Jones) G.N.Backh.,Pterostylis multiflora,NA
Pterostylis multisignata (D.L.Jones) D.L.Jones,Pterostylis multisignata,NA
Pterostylis mutica R.Br.,Pterostylis mutica,NA
Pterostylis mystacina (D.L.Jones) Janes & Duretto,Pterostylis mystacina,NA
Pterostylis nana R.Br.,Pterostylis nana,NA
Pterostylis nigricans D.L.Jones & M.A.Clem.,Pterostylis nigricans,NA
Pterostylis nutans R.Br.,Pterostylis nutans,NA
Pterostylis oblonga D.L.Jones,Pterostylis oblonga,NA
Pterostylis obtusa R.Br.,Pterostylis obtusa,NA
Pterostylis ophioglossa R.Br.,Pterostylis ophioglossa,NA
Pterostylis orbiculata (D.L.Jones & C.J.French) D.L.Jones & C.J.French,Pterostylis orbiculata,NA
Pterostylis oreophila Clemesha,Pterostylis oreophila,NA
Pterostylis ovata M.A.Clem.,Pterostylis ovata,NA
Pterostylis parca (D.L.Jones) G.N.Backh.,Pterostylis parca,NA
Pterostylis parva D.L.Jones & C.J.French,Pterostylis parva,NA
Pterostylis parviflora R.Br.,Pterostylis parviflora,NA
Pterostylis pearsonii (D.L.Jones) Janes & Duretto,Pterostylis pearsonii,NA
Pterostylis pedina (D.L.Jones) Janes & Duretto,Pterostylis pedina,NA
Pterostylis pedoglossa Fitzg.,Pterostylis pedoglossa,NA
Pterostylis pedunculata R.Br.,Pterostylis pedunculata,NA
Pterostylis perculta (D.L.Jones & C.J.French) D.L.Jones,Pterostylis perculta,NA
Pterostylis petiolata (D.L.Jones) D.L.Jones,Pterostylis petiolata,NA
Pterostylis petrosa D.L.Jones & M.A.Clem.,Pterostylis petrosa,NA
Pterostylis picta M.A.Clem.,Pterostylis picta,NA
Pterostylis planulata D.L.Jones & M.A.Clem.,Pterostylis planulata,NA
Pterostylis platypetala D.L.Jones & C.J.French,Pterostylis platypetala,NA
Pterostylis plumosa Cady,Pterostylis plumosa,NA
Pterostylis praetermissa M.A.Clem. & D.L.Jones,Pterostylis praetermissa,NA
Pterostylis prasina (D.L.Jones) G.N.Backh.,Pterostylis prasina,NA
Pterostylis pratensis D.L.Jones,Pterostylis pratensis,NA
"Pterostylis precatoria (D.L.Jones, C.J.French & M.A.Clem.) D.L.Jones & C.J.French",Pterostylis precatoria,NA
Pterostylis procera D.L.Jones & M.A.Clem.,Pterostylis procera,NA
Pterostylis psammophila (D.L.Jones) R.J.Bates,Pterostylis psammophila,NA
Pterostylis pulchella Messmer,Pterostylis pulchella,NA
Pterostylis pusilla R.S.Rogers,Pterostylis pusilla,NA
Pterostylis pyramidalis Lindl.,Pterostylis pyramidalis,NA
Pterostylis recurva Benth.,Pterostylis recurva,NA
Pterostylis reflexa R.Br.,Pterostylis reflexa,NA
Pterostylis revoluta R.Br.,Pterostylis revoluta,NA
Pterostylis riparia D.L.Jones,Pterostylis riparia,NA
Pterostylis robusta R.S.Rogers,Pterostylis robusta,NA
Pterostylis roensis M.A.Clem. & D.L.Jones,Pterostylis roensis,NA
Pterostylis rogersii E.Coleman,Pterostylis rogersii,NA
Pterostylis rubenachii D.L.Jones,Pterostylis rubenachii,NA
Pterostylis rubescens (D.L.Jones) G.N.Backh.,Pterostylis rubescens,NA
Pterostylis rubiginosa (D.L.Jones & L.M.Copel.) L.M.Copel. & D.L.Jones,Pterostylis rubiginosa,NA
Pterostylis rufa R.Br.,Pterostylis rufa,NA
Pterostylis russellii T.E.Hunt,Pterostylis russellii,NA
Pterostylis sanguinea D.L.Jones & M.A.Clem.,Pterostylis sanguinea,NA
Pterostylis sargentii C.R.P.Andrews,Pterostylis sargentii,NA
Pterostylis saxicola D.L.Jones & M.A.Clem.,Pterostylis saxicola,NA
Pterostylis saxosa (D.L.Jones & C.J.French) D.L.Jones & C.J.French,Pterostylis saxosa,NA
Pterostylis scabra Lindl.,Pterostylis scabra,NA
Pterostylis scabrida Lindl.,Pterostylis scabrida,NA
Pterostylis scapula (D.L.Jones) D.L.Jones,Pterostylis scapula,NA
Pterostylis scitula D.L.Jones & C.J.French,Pterostylis scitula,NA
Pterostylis scoliosa D.L.Jones,Pterostylis scoliosa,NA
"Pterostylis serotina (D.L.Jones, C.J.French & M.A.Clem.) D.L.Jones & C.J.French",Pterostylis serotina,NA
"Pterostylis setifera M.A.Clem., Matthias & D.L.Jones",Pterostylis setifera,NA
Pterostylis sigmoidea (D.L.Jones & C.J.French) D.L.Jones & C.J.French,Pterostylis sigmoidea,NA
Pterostylis simulans R.J.Bates,Pterostylis simulans,NA
Pterostylis sinuata (D.L.Jones) Janes & Duretto,Pterostylis sinuata,NA
Pterostylis smaragdyna D.L.Jones & M.A.Clem.,Pterostylis smaragdyna,NA
Pterostylis spathulata M.A.Clem.,Pterostylis spathulata,NA
Pterostylis spissa (D.L.Jones) G.N.Backh.,Pterostylis spissa,NA
Pterostylis squamata R.Br.,Pterostylis squamata,NA
Pterostylis stenochila D.L.Jones,Pterostylis stenochila,NA
Pterostylis stenosepala (D.L.Jones) G.N.Backh.,Pterostylis stenosepala,NA
Pterostylis straminea (D.L.Jones) D.L.Jones,Pterostylis straminea,NA
Pterostylis striata Fitzg.,Pterostylis striata,NA
Pterostylis stricta Clemesha & B.Gray,Pterostylis stricta,NA
Pterostylis subtilis D.L.Jones,Pterostylis subtilis,NA
Pterostylis tasmanica D.L.Jones,Pterostylis tasmanica,NA
Pterostylis taurus M.A.Clem. & D.L.Jones,Pterostylis taurus,NA
Pterostylis telmata D.L.Jones & C.J.French,Pterostylis telmata,NA
Pterostylis tenuis (D.L.Jones) G.N.Backh.,Pterostylis tenuis,NA
Pterostylis tenuissima Nicholls,Pterostylis tenuissima,NA
Pterostylis terminalis (D.L.Jones & R.J.Bates) J.M.H.Shaw,Pterostylis terminalis,NA
Pterostylis thulia (D.L.Jones) Janes & Duretto,Pterostylis thulia,NA
Pterostylis timothyi (D.L.Jones) Janes & Duretto,Pterostylis timothyi,NA
Pterostylis torquata D.L.Jones,Pterostylis torquata,NA
Pterostylis truncata Fitzg.,Pterostylis truncata,NA
Pterostylis tryphera (D.L.Jones & C.J.French) D.L.Jones & C.J.French,Pterostylis tryphera,NA
Pterostylis tunstallii D.L.Jones & M.A.Clem.,Pterostylis tunstallii,NA
Pterostylis turfosa Endl.,Pterostylis turfosa,NA
Pterostylis uliginosa D.L.Jones,Pterostylis uliginosa,NA
Pterostylis umbrina (D.L.Jones) G.N.Backh.,Pterostylis umbrina,NA
Pterostylis unicornis (D.L.Jones) D.L.Jones,Pterostylis unicornis,NA
Pterostylis valida (Nicholls) D.L.Jones,Pterostylis valida,NA
Pterostylis ventricosa (D.L.Jones) G.N.Backh.,Pterostylis ventricosa,NA
Pterostylis vernalis (D.L.Jones) G.N.Backh.,Pterostylis vernalis,NA
Pterostylis vescula (D.L.Jones) D.L.Jones,Pterostylis vescula,NA
Pterostylis virens (D.L.Jones & C.J.French) D.L.Jones & C.J.French,Pterostylis virens,NA
Pterostylis viriosa (D.L.Jones) R.J.Bates,Pterostylis viriosa,NA
Pterostylis vitrea (D.L.Jones) Bostock,Pterostylis vitrea,NA
Pterostylis vittata Lindl.,Pterostylis vittata,NA
Pterostylis voigtii D.L.Jones & C.J.French,Pterostylis voigtii,NA
Pterostylis wapstrarum D.L.Jones,Pterostylis wapstrarum,NA
Pterostylis williamsonii D.L.Jones,Pterostylis williamsonii,NA
Pterostylis woollsii Fitzg.,Pterostylis woollsii,NA
Pterostylis xerampelina (D.L.Jones & C.J.French) D.L.Jones & C.J.French,Pterostylis xerampelina,NA
Pterostylis xerophila M.A.Clem.,Pterostylis xerophila,NA
Pterostylis zebrina (D.L.Jones) D.L.Jones,Pterostylis zebrina,NA
Pterostylis ziegeleri D.L.Jones,Pterostylis ziegeleri,NA
Pyrorchis forrestii (F.Muell.) D.L.Jones & M.A.Clem.,Pyrorchis forrestii,NA
Pyrorchis nigricans (R.Br.) D.L.Jones & M.A.Clem.,Pyrorchis nigricans,NA
Rhinerrhiza divitiflora (F.Muell. ex Benth.) Rupp,Rhinerrhiza divitiflora,NA
Rhinerrhizopsis matutina D.L.Jones & M.A.Clem.,Rhinerrhizopsis matutina,NA
Rhipidorchis micrantha (A.Rich.) D.L.Jones & M.A.Clem.,Rhipidorchis micrantha,NA
Rhizanthella gardneri R.S.Rogers,Rhizanthella gardneri,NA
Rhizanthella johnstonii K.W.Dixon & Christenh.,Rhizanthella johnstonii,NA
Rhizanthella omissa D.L.Jones & M.A.Clem.,Rhizanthella omissa,NA
Rhizanthella slateri (Rupp) M.A.Clem. & P.J.Cribb,Rhizanthella slateri,NA
Rimacola elliptica (R.Br.) Rupp,Rimacola elliptica,NA
Robiquetia gracilistipes (Schltr.) J.J.Sm.,Robiquetia gracilistipes,NA
Robiquetia wassellii Dockrill,Robiquetia wassellii,NA
Saccolabiopsis armitii (F.Muell.) Dockrill,Saccolabiopsis armitii,NA
Saccolabiopsis rectifolia (Dockrill) Garay,Saccolabiopsis rectifolia,NA
Sarcanthopsis warocqueana (Rolfe) Garay,Sarcanthopsis warocqueana,NA
Sarcochilus aequalis D.L.Jones & M.A.Clem.,Sarcochilus aequalis,NA
Sarcochilus australis (Lindl.) Rchb.f.,Sarcochilus australis,NA
Sarcochilus borealis (Nicholls) M.A.Clem. & D.L.Jones,Sarcochilus borealis,NA
Sarcochilus ceciliae F.Muell.,Sarcochilus ceciliae,NA
Sarcochilus dilatatus F.Muell.,Sarcochilus dilatatus,NA
Sarcochilus eriochilus Fitzg.,Sarcochilus eriochilus,NA
Sarcochilus falcatus R.Br.,Sarcochilus falcatus,NA
Sarcochilus fitzgeraldii F.Muell.,Sarcochilus fitzgeraldii,NA
Sarcochilus hartmannii F.Muell.,Sarcochilus hartmannii,NA
Sarcochilus hillii (F.Muell.) F.Muell.,Sarcochilus hillii,NA
Sarcochilus hirticalcar (Dockrill) M.A.Clem. & B.J.Wallace,Sarcochilus hirticalcar,NA
Sarcochilus loganii D.L.Jones & M.A.Clem.,Sarcochilus loganii,NA
Sarcochilus minutiflos F.M.Bailey,Sarcochilus minutiflos,NA
Sarcochilus olivaceus Lindl.,Sarcochilus olivaceus,NA
Sarcochilus parviflorus Lindl.,Sarcochilus parviflorus,NA
Sarcochilus serrulatus D.L.Jones,Sarcochilus serrulatus,NA
Sarcochilus spathulatus R.S.Rogers,Sarcochilus spathulatus,NA
Sarcochilus weinthalii F.M.Bailey,Sarcochilus weinthalii,NA
Schistotylus purpuratus (Rupp) Dockrill,Schistotylus purpuratus,NA
Schoenorchis micrantha Reinw. ex Blume,Schoenorchis micrantha,NA
Schoenorchis sarcophylla Schltr.,Schoenorchis sarcophylla,NA
Spathoglottis paulinae F.Muell.,Spathoglottis paulinae,NA
Spathoglottis plicata Blume,Spathoglottis plicata,NA
Spiculaea ciliata Lindl.,Spiculaea ciliata,NA
Spiranthes australis (R.Br.) Lindl.,Spiranthes australis,NA
Spiranthes elytra D.L.Jones & R.J.Bates,Spiranthes elytra,NA
Spiranthes sinensis (Pers.) Ames,Spiranthes sinensis,NA
"Stigmatodactylus amplexicaulis (F.M.Bailey) S.P.Lyon, M.A.Clem. & D.L.Jones",Stigmatodactylus amplexicaulis,NA
"Stigmatodactylus sublestus (Dockrill) S.P.Lyon, M.A.Clem. & D.L.Jones",Stigmatodactylus sublestus,NA
Taeniophyllum baumei B.Gray,Taeniophyllum baumei,NA
Taeniophyllum clementsii (D.L.Jones & B.Gray) Kocyan & Schuit.,Taeniophyllum clementsii,NA
Taeniophyllum confertum B.Gray & D.L.Jones,Taeniophyllum confertum,NA
Taeniophyllum epacridicola B.Gray,Taeniophyllum epacridicola,NA
Taeniophyllum explanatum B.Gray,Taeniophyllum explanatum,NA
Taeniophyllum hasseltii Rchb.f.,Taeniophyllum hasseltii,NA
Taeniophyllum lobatum Dockrill,Taeniophyllum lobatum,NA
Taeniophyllum malianum Schltr.,Taeniophyllum malianum,NA
Taeniophyllum muelleri Lindl. ex Benth.,Taeniophyllum muelleri,NA
"Taeniophyllum norfolkianum D.L.Jones, B.Gray & M.A.Clem.",Taeniophyllum norfolkianum,NA
Taeniophyllum triquetroradix B.Gray,Taeniophyllum triquetroradix,NA
Taeniophyllum walkeri B.Gray,Taeniophyllum walkeri,NA
Tainia trinervis (Blume) Rchb.f.,Tainia trinervis,NA
Thelasis capitata Blume,Thelasis capitata,NA
Thelasis carinata Blume,Thelasis carinata,NA
Thelymitra abrupta R.J.Bates,Thelymitra abrupta,NA
Thelymitra adorata Jeanes,Thelymitra adorata,NA
Thelymitra aggericola D.L.Jones,Thelymitra aggericola,NA
Thelymitra albiflora Jeanes,Thelymitra albiflora,NA
Thelymitra alcockiae D.L.Jones ex Jeanes,Thelymitra alcockiae,NA
Thelymitra alpicola Jeanes,Thelymitra alpicola,NA
Thelymitra alpina Jeanes,Thelymitra alpina,NA
Thelymitra angustifolia R.Br.,Thelymitra angustifolia,NA
Thelymitra antennifera (Lindl.) Hook.f.,Thelymitra antennifera,NA
Thelymitra apiculata (A.S.George) M.A.Clem. & D.L.Jones,Thelymitra apiculata,NA
Thelymitra arenaria Lindl.,Thelymitra arenaria,NA
Thelymitra aristata Lindl.,Thelymitra aristata,NA
Thelymitra atronitida Jeanes,Thelymitra atronitida,NA
Thelymitra azurea R.S.Rogers,Thelymitra azurea,NA
Thelymitra basaltica Jeanes,Thelymitra basaltica,NA
Thelymitra batesii Jeanes,Thelymitra batesii,NA
Thelymitra benthamiana Rchb.f.,Thelymitra benthamiana,NA
Thelymitra bracteata J.Z.Weber ex Jeanes,Thelymitra bracteata,NA
Thelymitra brevifolia Jeanes,Thelymitra brevifolia,NA
Thelymitra campanulata Lindl.,Thelymitra campanulata,NA
Thelymitra canaliculata R.Br.,Thelymitra canaliculata,NA
Thelymitra carnea R.Br.,Thelymitra carnea,NA
Thelymitra circumsepta Fitzg.,Thelymitra circumsepta,NA
Thelymitra cornicina Rchb.f.,Thelymitra cornicina,NA
Thelymitra corrugata R.J.Bates,Thelymitra corrugata,NA
Thelymitra crenulata R.J.Bates,Thelymitra crenulata,NA
Thelymitra crinita Lindl.,Thelymitra crinita,NA
Thelymitra cucullata Rupp,Thelymitra cucullata,NA
Thelymitra cyanapicata Jeanes,Thelymitra cyanapicata,NA
Thelymitra cyanea (Lindl.) Benth.,Thelymitra cyanea,NA
Thelymitra dedmaniarum R.S.Rogers,Thelymitra dedmaniarum,NA
Thelymitra epipactoides F.Muell.,Thelymitra epipactoides,NA
Thelymitra erosa D.L.Jones & M.A.Clem.,Thelymitra erosa,NA
Thelymitra exigua Jeanes,Thelymitra exigua,NA
Thelymitra flexuosa Endl.,Thelymitra flexuosa,NA
Thelymitra fragrans D.L.Jones & M.A.Clem.,Thelymitra fragrans,NA
Thelymitra frenchii Jeanes,Thelymitra frenchii,NA
Thelymitra fuscolutea R.Br.,Thelymitra fuscolutea,NA
Thelymitra glaucophylla R.J.Bates ex Jeanes,Thelymitra glaucophylla,NA
Thelymitra graminea Lindl.,Thelymitra graminea,NA
Thelymitra grandiflora Fitzg.,Thelymitra grandiflora,NA
Thelymitra granitora D.L.Jones & M.A.Clem.,Thelymitra granitora,NA
Thelymitra gregaria D.L.Jones & M.A.Clem.,Thelymitra gregaria,NA
Thelymitra hiemalis D.L.Jones & M.A.Clem.,Thelymitra hiemalis,NA
Thelymitra holmesii Nicholls,Thelymitra holmesii,NA
Thelymitra hygrophila R.J.Bates,Thelymitra hygrophila,NA
Thelymitra imbricata D.L.Jones & M.A.Clem.,Thelymitra imbricata,NA
Thelymitra improcera D.L.Jones & M.A.Clem.,Thelymitra improcera,NA
Thelymitra incurva Jeanes,Thelymitra incurva,NA
Thelymitra inflata Jeanes,Thelymitra inflata,NA
Thelymitra ixioides Sw.,Thelymitra ixioides,NA
Thelymitra jacksonii Hopper & A.P.Br. ex Jeanes,Thelymitra jacksonii,NA
Thelymitra jonesii Jeanes,Thelymitra jonesii,NA
Thelymitra juncifolia Lindl.,Thelymitra juncifolia,NA
Thelymitra kangaloonica Jeanes,Thelymitra kangaloonica,NA
Thelymitra latifolia R.J.Bates,Thelymitra latifolia,NA
Thelymitra latiloba Jeanes,Thelymitra latiloba,NA
Thelymitra longifolia J.R.Forst. & G.Forst.,Thelymitra longifolia,NA
Thelymitra longiloba D.L.Jones & M.A.Clem.,Thelymitra longiloba,NA
Thelymitra lucida Jeanes,Thelymitra lucida,NA
Thelymitra luteocilium Fitzg.,Thelymitra luteocilium,NA
Thelymitra macrophylla Lindl.,Thelymitra macrophylla,NA
Thelymitra maculata Jeanes,Thelymitra maculata,NA
Thelymitra magnifica Jeanes,Thelymitra magnifica,NA
"Thelymitra malvina M.A.Clem., D.L.Jones & Molloy",Thelymitra malvina,NA
Thelymitra matthewsii Cheeseman,Thelymitra matthewsii,NA
Thelymitra media R.Br.,Thelymitra media,NA
Thelymitra megcalyptra Fitzg.,Thelymitra megcalyptra,NA
Thelymitra mucida Fitzg.,Thelymitra mucida,NA
Thelymitra nuda R.Br.,Thelymitra nuda,NA
Thelymitra occidentalis Jeanes,Thelymitra occidentalis,NA
Thelymitra odora R.J.Bates,Thelymitra odora,NA
Thelymitra orientalis R.J.Bates,Thelymitra orientalis,NA
Thelymitra pallidiflora Jeanes,Thelymitra pallidiflora,NA
Thelymitra pallidifructus R.J.Bates,Thelymitra pallidifructus,NA
Thelymitra paludosa Jeanes,Thelymitra paludosa,NA
Thelymitra pauciflora R.Br.,Thelymitra pauciflora,NA
Thelymitra peniculata Jeanes,Thelymitra peniculata,NA
Thelymitra petrophila Jeanes,Thelymitra petrophila,NA
Thelymitra planicola Jeanes,Thelymitra planicola,NA
Thelymitra polychroma D.L.Jones & M.A.Clem.,Thelymitra polychroma,NA
Thelymitra psammophila C.R.P.Andrews,Thelymitra psammophila,NA
Thelymitra pulchella Hook.f.,Thelymitra pulchella,NA
Thelymitra pulcherrima Jeanes,Thelymitra pulcherrima,NA
Thelymitra purpurata Rupp,Thelymitra purpurata,NA
Thelymitra queenslandica Jeanes,Thelymitra queenslandica,NA
Thelymitra reflexa Jeanes,Thelymitra reflexa,NA
Thelymitra rubra Fitzg.,Thelymitra rubra,NA
Thelymitra rubricaulis R.J.Bates,Thelymitra rubricaulis,NA
Thelymitra sargentii R.S.Rogers,Thelymitra sargentii,NA
Thelymitra silena D.L.Jones,Thelymitra silena,NA
Thelymitra simulata D.L.Jones & M.A.Clem.,Thelymitra simulata,NA
Thelymitra spadicea D.L.Jones & M.A.Clem.,Thelymitra spadicea,NA
Thelymitra sparsa D.L.Jones & M.A.Clem.,Thelymitra sparsa,NA
Thelymitra speciosa Jeanes,Thelymitra speciosa,NA
Thelymitra spiralis (Lindl.) F.Muell.,Thelymitra spiralis,NA
Thelymitra stellata Lindl.,Thelymitra stellata,NA
Thelymitra tigrina R.Br.,Thelymitra tigrina,NA
Thelymitra tubulina R.J.Bates,Thelymitra tubulina,NA
Thelymitra uliginosa Jeanes,Thelymitra uliginosa,NA
Thelymitra variegata (Lindl.) F.Muell.,Thelymitra variegata,NA
Thelymitra venosa R.Br.,Thelymitra venosa,NA
Thelymitra villosa Lindl.,Thelymitra villosa,NA
Thelymitra viridis Jeanes,Thelymitra viridis,NA
Thelymitra vulgaris Jeanes,Thelymitra vulgaris,NA
Thelymitra xanthotricha Jeanes,Thelymitra xanthotricha,NA
